,product_image,product_ram,product_condition,product_cost,product_name,product_storage,product_color,original_cost
286,https://rukminim1.flixcart.com/image/612/612/jjq18y80/mobile-refurbished/d/d/z/oneplus-3-64-c-a3003-oneplus-6-original-imaf6mey9zharrvg.jpeg?q=70,6 GB RAM,Refurbished - Good,₹ 8199.00,OnePlus 3,64 GB,Soft Gold,32800
288,https://rukminim1.flixcart.com/image/612/612/k65d18w0pkrrdj/mobile-refurbished/t/h/b/redmi-7a-16-a-mzb7799in-mi-2-original-imafg27hramfktfs.jpeg?q=70,2 GB RAM,Unboxed - Like New,₹ 5495.00,Redmi 7A,16 GB,Matte Blue,12870
289,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/7/f/2/redmi-note-3-32-u-mzb4666in-mzb4667in-mzb4668in-mi-3-original-imaf6mh5hrcgrkvz.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 4698.00,Redmi Note 3,16 GB,Dark Grey,15840
290,https://rukminim1.flixcart.com/image/612/612/k2tc1ow0pkrrdj/mobile-refurbished/s/j/g/y55s-16-c-1610-vivo-2-original-imaf9wfdycguvv4h.jpeg?q=70,3 GB RAM,Refurbished - Superb,₹ 5499.00,ViVO Y55S,16 GB,Matte Black,17786
291,https://rukminim1.flixcart.com/image/612/612/jovshow0/mobile/s/q/4/oppo-a3s-cph1803-original-imaf9f39bqcvhpg2.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 6299.00,OPPO A3s,16 GB,Purple,11000
292,https://rukminim1.flixcart.com/image/612/612/k0lbdzk0pkrrdj/mobile/c/r/v/mi-redmi-note-7-pro-mzb7464in-original-imafeybfxdfpuzs8.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 7895.00,Redmi Note 7 Pro,64 GB,Neptune Blue,14990
293,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/k/g/m/samsung-galaxy-j6-sm-j600gzbhins-original-imaf9f37syzdmezd.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 5889.00,SAMSUNG Galaxy J6,64 GB,Blue,15300
296,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/f/a/v/nokia-5-na-original-imafar6a6kba26mn.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 4699.00,Nokia 5,16 GB,Matte Black,10000
297,https://rukminim1.flixcart.com/image/612/612/kehfi4w0pkrrdj/mobile-refurbished/z/y/m/r15-pro-128-u-cph1831-oppo-6-original-imafv8s9djhtb4tn.jpeg?q=70,6 GB RAM,Unboxed - Like New,₹ 13999.00,OPPO R15 Pro,128 GB,Cosmic Purple,39780
298,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/f/p/s/galaxy-j7-prime-16-u-sm-g610fzkdins-samsung-3-original-imaf6mdtzb8fg5xj.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 5999.00,SAMSUNG Galaxy J7 Prime,16 GB,Black,17850
299,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/m/7/2/lenovo-k8-plus-xt1902-2-original-imaf6juxgnhvpck9.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 5999.00,lenovo K8 Plus,32 ..,Venom Black,17786
300,https://rukminim1.flixcart.com/image/612/612/k51cpe80pkrrdj/mobile/v/w/8/realme-5s-rmx1925-original-imafmbm6hatkkzys.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 10999.00,realme 5s,64 GB,Crystal Blue,18900
